epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5214285850524902,0.526938796043396,1.0759130716323853,1e-04,0.5199999809265137,0.5571428537368774,0.46666666865348816,0.35333335399627686,0.8904539942741394,0.4285714328289032,0.20000000298023224
1,0.4928571283817291,0.46071431040763855,1.1767760515213013,1e-04,0.4923076927661896,0.4571428596973419,0.5666666626930237,0.5777778029441833,0.9286884069442749,0.75,0.20000000298023224
2,0.44285714626312256,0.43612244725227356,1.139406442642212,1e-04,0.4444444477558136,0.4571428596973419,0.6666666865348816,0.5755555629730225,0.901712954044342,0.7272727489471436,0.5333333611488342
3,0.5714285969734192,0.5761224031448364,1.0135064125061035,1e-04,0.5714285969734192,0.5714285969734192,0.6666666865348816,0.6355555653572083,0.8065149784088135,0.6666666865348816,0.6666666865348816
4,0.5428571701049805,0.5152040719985962,0.9847899079322815,1e-04,0.5384615659713745,0.6000000238418579,0.6000000238418579,0.7022222280502319,0.79100102186203,0.5714285969734192,0.800000011920929
5,0.5642856955528259,0.5642857551574707,0.9498671293258667,1e-04,0.5714285969734192,0.5142857432365417,0.5333333611488342,0.6088888645172119,0.9039022922515869,0.5263158082962036,0.6666666865348816
6,0.5357142686843872,0.5887754559516907,0.9515749216079712,1e-04,0.5373134613037109,0.5142857432365417,0.800000011920929,0.7599999904632568,0.6276066303253174,0.7647058963775635,0.8666666746139526
7,0.5071428418159485,0.5325510501861572,0.9786252975463867,1e-04,0.5068492889404297,0.5285714268684387,0.7666666507720947,0.8355555534362793,0.5732709169387817,0.7857142686843872,0.7333333492279053
8,0.5928571224212646,0.652755081653595,0.8586586713790894,1e-04,0.5866666436195374,0.6285714507102966,0.800000011920929,0.8022222518920898,0.6345539093017578,0.7368420958518982,0.9333333373069763
9,0.6428571343421936,0.6633673906326294,0.832515299320221,1e-04,0.65625,0.6000000238418579,0.7666666507720947,0.7800000905990601,0.6271879076957703,0.699999988079071,0.9333333373069763
10,0.6142857074737549,0.6515306234359741,0.7974262833595276,1e-04,0.6111111044883728,0.6285714507102966,0.800000011920929,0.8111110329627991,0.5897875428199768,0.800000011920929,0.800000011920929
11,0.5357142686843872,0.5561224222183228,0.9351807832717896,1e-04,0.5362318754196167,0.5285714268684387,0.7666666507720947,0.8288888931274414,0.5386678576469421,0.75,0.800000011920929
12,0.5642856955528259,0.6064285635948181,0.8585023283958435,1e-04,0.5616438388824463,0.5857142806053162,0.8333333134651184,0.8999999761581421,0.47925660014152527,0.9166666865348816,0.7333333492279053
13,0.5357142686843872,0.6120408177375793,0.9056442379951477,1e-04,0.534246563911438,0.5571428537368774,0.8666666746139526,0.9333333373069763,0.4336269795894623,0.8666666746139526,0.8666666746139526
14,0.6285714507102966,0.6482653021812439,0.8507446646690369,1e-04,0.6285714507102966,0.6285714507102966,0.8333333134651184,0.8711111545562744,0.4691418409347534,0.7777777910232544,0.9333333373069763
15,0.6357142925262451,0.7190816402435303,0.7604580521583557,1e-04,0.6266666650772095,0.6714285612106323,0.9333333373069763,0.8666666746139526,0.45095863938331604,0.8823529481887817,1.0
16,0.6428571343421936,0.6596938967704773,0.8566641211509705,1e-04,0.6428571343421936,0.6428571343421936,0.8333333134651184,0.9266666769981384,0.3963105380535126,0.8125,0.8666666746139526
17,0.6857143044471741,0.7497959136962891,0.7023346424102783,1e-04,0.7096773982048035,0.6285714507102966,0.8999999761581421,0.9244444370269775,0.3617396056652069,0.8333333134651184,1.0
18,0.6000000238418579,0.6460204124450684,0.83737713098526,1e-04,0.5921052694320679,0.6428571343421936,0.8333333134651184,0.8888888359069824,0.4225407838821411,0.8125,0.8666666746139526
19,0.6142857074737549,0.6543877720832825,0.8708516955375671,1e-04,0.6333333253860474,0.5428571701049805,0.8333333134651184,0.8999999761581421,0.5313429236412048,0.75,1.0
20,0.6857143044471741,0.7403060793876648,0.7184862494468689,1e-04,0.6805555820465088,0.699999988079071,0.8999999761581421,0.9822221994400024,0.35866838693618774,0.8333333134651184,1.0
21,0.5571428537368774,0.6308163404464722,0.8919506669044495,1e-04,0.5625,0.5142857432365417,0.8999999761581421,0.948888897895813,0.3612687885761261,0.8333333134651184,1.0
22,0.6857143044471741,0.7075510025024414,0.7686605453491211,1e-04,0.6911764740943909,0.6714285612106323,0.8999999761581421,0.9822221994400024,0.29359620809555054,0.8333333134651184,1.0
23,0.6499999761581421,0.6934694051742554,0.8044374585151672,1e-04,0.6478873491287231,0.6571428775787354,0.8999999761581421,0.9111111164093018,0.43746355175971985,0.8333333134651184,1.0
